state,sector,week,MtCO2 per week
Anhui,Aviation,2019-12-30/2020-01-05,0.0513457
Anhui,Aviation,2020-01-06/2020-01-12,0.07295241
Anhui,Aviation,2020-01-13/2020-01-19,0.0775569
Anhui,Aviation,2020-01-20/2020-01-26,0.07376394
Anhui,Aviation,2020-01-27/2020-02-02,0.05191937
Anhui,Aviation,2020-02-03/2020-02-09,0.025781079999999998
Anhui,Aviation,2020-02-10/2020-02-16,0.01633941
Anhui,Aviation,2020-02-17/2020-02-23,0.01598271
Anhui,Aviation,2020-02-24/2020-03-01,0.022809435
Anhui,Aviation,2020-03-02/2020-03-08,0.02150069
Anhui,Aviation,2020-03-09/2020-03-15,0.02140443
Anhui,Aviation,2020-03-16/2020-03-22,0.02303852
Anhui,Aviation,2020-03-23/2020-03-29,0.02257024
Anhui,Aviation,2020-03-30/2020-04-05,0.02170015
Anhui,Aviation,2020-04-06/2020-04-12,0.025451889999999998
Anhui,Aviation,2020-04-13/2020-04-19,0.02619304
Anhui,Aviation,2020-04-20/2020-04-26,0.0288821
Anhui,Aviation,2020-04-27/2020-05-03,0.03291076
Anhui,Aviation,2020-05-04/2020-05-10,0.03782025
Anhui,Aviation,2020-05-11/2020-05-17,0.03966605
Anhui,Aviation,2020-05-18/2020-05-24,0.04048079
Anhui,Aviation,2020-05-25/2020-05-31,0.0410086
Anhui,Aviation,2020-06-01/2020-06-07,0.04088006
Anhui,Aviation,2020-06-08/2020-06-14,0.04283677
Anhui,Aviation,2020-06-15/2020-06-21,0.04025042
Anhui,Aviation,2020-06-22/2020-06-28,0.03786809
Anhui,Aviation,2020-06-29/2020-07-05,0.04200016
Anhui,Aviation,2020-07-06/2020-07-12,0.04434195
Anhui,Aviation,2020-07-13/2020-07-19,0.047972970000000004
Anhui,Aviation,2020-07-20/2020-07-26,0.04986227
Anhui,Aviation,2020-07-27/2020-08-02,0.05012721
Anhui,Aviation,2020-08-03/2020-08-09,0.05169087
Anhui,Aviation,2020-08-10/2020-08-16,0.05143401
Anhui,Aviation,2020-08-17/2020-08-23,0.05331038
Anhui,Aviation,2020-08-24/2020-08-30,0.05330834
Anhui,Aviation,2020-08-31/2020-09-06,0.0516775
Anhui,Aviation,2020-09-07/2020-09-13,0.05387472
Anhui,Aviation,2020-09-14/2020-09-20,0.055962979999999996
Anhui,Aviation,2020-09-21/2020-09-27,0.05717013
Anhui,Aviation,2020-09-28/2020-10-04,0.05450702
Anhui,Aviation,2020-10-05/2020-10-11,0.055596519999999996
Anhui,Aviation,2020-10-12/2020-10-18,0.05556958
Anhui,Aviation,2020-10-19/2020-10-25,0.05515644
Anhui,Aviation,2020-10-26/2020-11-01,0.05684457
Anhui,Aviation,2020-11-02/2020-11-08,0.05907825
Anhui,Aviation,2020-11-09/2020-11-15,0.05895065
Anhui,Aviation,2020-11-16/2020-11-22,0.060019789999999996
Anhui,Aviation,2020-11-23/2020-11-29,0.060391719999999996
