density;residual sugar;alcohol;total sulfur dioxide;chlorides;free sulfur dioxide;volatile acidity;citric acid;quality
1.001;20.7;8.8;170.0;0.045;45.0;0.27;0.36;6
0.994;1.6;9.5;132.0;0.049;14.0;0.3;0.34;6
0.9951;6.9;10.1;97.0;0.05;30.0;0.28;0.4;6
0.9956;8.5;9.9;186.0;0.058;47.0;0.23;0.32;6
0.9956;8.5;9.9;186.0;0.058;47.0;0.23;0.32;6
0.9951;6.9;10.1;97.0;0.05;30.0;0.28;0.4;6
0.9949;7.0;9.6;136.0;0.045;30.0;0.32;0.16;6
1.001;20.7;8.8;170.0;0.045;45.0;0.27;0.36;6
0.994;1.6;9.5;132.0;0.049;14.0;0.3;0.34;6
0.9938;1.5;11.0;129.0;0.044;28.0;0.22;0.43;6
0.9908;1.45;12.0;63.0;0.033;11.0;0.27;0.41;5
0.9947;4.2;9.7;109.0;0.035;17.0;0.23;0.4;5
0.992;1.2;10.8;75.0;0.04;16.0;0.18;0.37;5
0.9912;1.5;12.4;143.0;0.044;48.0;0.16;0.4;7
1.0002;19.25;9.7;172.0;0.04;41.0;0.42;0.62;5
0.9914;1.5;11.4;112.0;0.032;28.0;0.17;0.38;7
0.9928;1.1;9.6;99.0;0.046;30.0;0.48;0.04;6
0.9892;1.2;12.8;75.0;0.029;29.0;0.66;0.48;8
0.9917;1.1;11.3;171.0;0.033;17.0;0.34;0.42;6
0.9955;7.5;9.5;133.0;0.044;34.0;0.31;0.14;5
0.9892;1.2;12.8;75.0;0.029;29.0;0.66;0.48;8
0.9912;2.9;11.0;102.0;0.038;19.0;0.31;0.38;7
0.993;1.7;10.5;122.0;0.049;41.0;0.26;0.42;8
0.9937;1.5;9.3;168.0;0.074;25.0;0.67;0.14;5
0.9951;1.3;10.0;142.0;0.052;16.0;0.27;0.41;6
0.9955;9.0;10.4;245.0;0.046;56.0;0.25;0.32;6
0.993;1.0;10.0;146.0;0.052;35.0;0.24;0.35;6
0.9961;8.7;10.5;141.0;0.051;32.0;0.28;0.39;6
0.9914;1.1;11.6;132.0;0.047;17.0;0.27;0.48;6
0.9906;2.0;12.3;114.0;0.033;37.0;0.32;0.36;7
0.9974;10.4;10.0;142.0;0.044;20.0;0.24;0.39;6
0.9934;1.1;10.2;47.0;0.042;7.0;0.14;0.34;6
0.992;2.05;10.8;100.0;0.05;31.0;0.25;0.36;6
0.9939;1.5;9.0;117.0;0.045;43.0;0.12;0.34;6
0.9962;14.95;10.2;179.0;0.044;22.0;0.27;0.2;5
0.9905;1.7;12.8;123.0;0.08;21.0;0.28;0.43;5
0.9934;5.4;10.0;149.0;0.051;25.0;0.39;0.23;5
0.9906;1.2;11.2;138.0;0.053;38.0;0.33;0.32;6
0.9999;17.95;8.6;149.0;0.057;45.0;0.24;0.39;5
0.9999;17.95;8.6;149.0;0.057;45.0;0.24;0.39;5
0.9937;2.5;9.4;158.0;0.172;63.0;0.23;0.39;6
0.9937;2.9;9.4;157.0;0.173;63.0;0.24;0.39;6
0.9954;7.4;9.8;160.0;0.069;28.0;0.31;0.26;6
0.9934;1.4;9.5;152.0;0.057;33.0;0.24;0.27;6
0.9934;1.4;9.5;154.0;0.06;33.0;0.23;0.26;6
0.9931;1.4;10.0;167.0;0.058;38.0;0.18;0.31;7
0.994;4.4;9.8;206.0;0.063;63.0;0.45;0.26;4
0.9939;4.4;9.8;207.0;0.066;62.0;0.46;0.25;5
0.9954;7.4;9.8;160.0;0.069;28.0;0.31;0.26;6
0.995;5.0;9.8;150.0;0.067;32.0;0.19;0.35;5
0.9917;1.6;11.7;173.0;0.062;31.0;0.19;0.31;6
0.9914;1.1;11.0;124.0;0.068;39.0;0.25;0.29;7
